Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,128.130005,135.190002,125.000000,133.080002,116.234612,174392900
2019-02-01,134.020004,137.949997,131.259995,136.639999,119.343964,119453700
2019-03-01,137.220001,140.000000,135.740005,139.789993,122.905045,137354500
2019-04-01,139.990005,141.449997,134.419998,141.199997,124.144737,124329800
2019-05-01,140.949997,142.350006,128.520004,131.149994,115.308617,159034100
2019-06-01,131.500000,144.979996,131.039993,139.279999,123.294533,150883000
2019-07-01,140.199997,142.470001,127.839996,130.220001,115.274368,159847900
2019-08-01,130.259995,134.100006,126.629997,128.360001,113.627846,176400700
2019-09-01,127.989998,132.779999,126.339996,129.380005,115.389000,122925900
2019-10-01,130.020004,137.490005,126.099998,132.039993,117.761330,206654300
2019-11-01,132.050003,138.630005,129.679993,137.490005,122.621994,127753600
2019-12-01,137.720001,147.839996,136.160004,145.869995,130.997101,127761600
2020-01-01,145.869995,151.190002,141.380005,148.869995,133.691223,150462900
2020-02-01,149.419998,154.500000,130.820007,134.479996,120.768456,147288300
2020-03-01,134.779999,143.639999,109.160004,131.130005,118.510933,355927400
2020-04-01,127.699997,157.000000,125.500000,150.039993,135.601135,234380900
2020-05-01,149.619995,153.619995,143.009995,148.750000,134.435303,136206100
2020-06-01,147.289993,150.029999,137.020004,140.630005,127.977753,174066600
2020-07-01,140.690002,151.669998,140.059998,145.759995,132.646210,137880400
2020-08-01,146.389999,154.399994,145.820007,153.410004,139.607941,109956200
2020-09-01,153.869995,155.470001,142.960007,148.880005,136.387268,138799800
2020-10-01,149.309998,153.139999,133.649994,137.110001,125.604912,137284700
2020-11-01,138.979996,151.300003,137.490005,144.679993,132.539658,153635100
2020-12-01,146.289993,157.660004,145.860001,157.380005,145.175842,158925000
2021-01-01,157.240005,173.649994,154.130005,163.130005,150.479935,184488700
2021-02-01,165.309998,167.940002,157.970001,158.460007,146.172073,147681200
2021-03-01,161.449997,167.029999,151.470001,164.350006,152.550720,175073000
2021-04-01,162.600006,167.789993,156.529999,162.729996,151.047012,162648500
2021-05-01,163.600006,172.740005,163.119995,169.250000,157.098907,133901100
2021-06-01,170.149994,170.199997,161.789993,164.740005,153.866730,145670800
2021-07-01,164.740005,173.380005,164.630005,172.199997,160.834335,133724800
2021-08-01,172.470001,179.919998,171.300003,173.130005,161.702957,114788500
2021-09-01,172.899994,175.220001,161.410004,161.500000,151.736908,132028700
2021-10-01,161.529999,166.029999,157.339996,162.880005,153.033508,136327000
2021-11-01,163.160004,167.619995,155.850006,155.929993,146.503647,164263300
2021-12-01,156.880005,173.509995,156.250000,171.070007,161.781158,167972300
2022-01-01,170.210007,174.300003,158.259995,172.289993,162.934921,165534400
2022-02-01,171.740005,173.619995,155.720001,164.570007,155.634094,154615300
2022-03-01,163.039993,180.210007,162.410004,177.229996,168.682571,180106000
2022-04-01,177.050003,186.690002,175.520004,180.460007,171.756805,163454500
2022-05-01,180.470001,181.740005,172.690002,179.529999,170.871674,152737200
2022-06-01,179.149994,183.350006,167.259995,177.509995,170.034744,159293700
2022-07-01,177.449997,179.990005,169.759995,174.520004,167.170654,114640700
2022-08-01,174.169998,175.490005,161.270004,161.339996,154.545700,157260000
2022-09-01,161.490005,167.669998,160.809998,163.360001,157.532013,168332500
2022-10-01,164.289993,175.389999,159.169998,173.970001,167.763504,139408400
2022-11-01,174.059998,178.119995,166.820007,178.000000,171.649734,138341800
2022-12-01,179.000000,181.039993,174.070007,176.649994,171.447388,129803700
2023-01-01,176.160004,180.929993,161.050003,163.419998,158.607056,160524000
2023-02-01,162.990005,166.339996,153.039993,153.259995,148.746277,164776500
2023-03-01,153.009995,156.250000,150.110001,155.000000,151.517029,185723800
2023-04-01,154.949997,167.229996,153.940002,163.699997,160.021530,146069800
2023-05-01,163.600006,166.179993,153.320007,155.059998,151.575668,132112400
2023-06-01,154.539993,166.270004,153.149994,165.520004,163.021408,146413700
2023-07-01,164.339996,175.360001,157.330002,167.529999,165.001068,201425400
2023-08-01,166.369995,175.970001,161.279999,161.679993,159.239365,1084847100
2023-09-01,161.419998,165.270004,155.259995,155.750000,154.512650,147233100
2023-10-01,155.419998,159.270004,144.949997,148.339996,147.161514,152893600
2023-11-01,149.190002,155.139999,145.639999,154.660004,153.431320,131078100
2023-12-01,156.440002,160.020004,151.770004,156.740005,156.740005,146527600
2024-01-01,156.929993,161.639999,156.789993,159.970001,159.970001,9619700
