Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,95.949997,105.239998,95.940002,103.500000,88.935028,325890900
2019-02-01,104.000000,107.269997,100.059998,104.360001,90.402260,224935100
2019-03-01,105.099998,108.400002,98.089996,101.230003,87.690872,306599600
2019-04-01,102.150002,117.160004,102.120003,116.050003,100.528748,252516300
2019-05-01,115.720001,117.000000,104.839996,105.959999,92.490601,230711900
2019-06-01,105.800003,112.430000,105.300003,111.800003,97.588242,248214000
2019-07-01,113.230003,117.239998,112.150002,116.000000,101.254341,232008700
2019-08-01,115.330002,116.800003,104.339996,109.860001,96.573753,259393900
2019-09-01,108.980003,120.400002,107.320000,117.690002,103.456795,229360700
2019-10-01,118.400002,127.419998,110.519997,124.919998,109.812416,251981600
2019-11-01,126.199997,132.429993,126.019997,131.759995,116.753052,191200900
2019-12-01,132.309998,140.080002,128.589996,139.399994,123.522873,212915300
2020-01-01,139.789993,141.100006,129.710007,132.360001,117.284714,247990900
2020-02-01,132.660004,139.289993,112.660004,116.110001,103.546028,240714700
2020-03-01,116.629997,122.949997,76.910004,90.029999,80.288086,734330700
2020-04-01,85.099998,104.389999,82.769997,95.760002,85.398056,531938200
2020-05-01,93.500000,102.949997,82.400002,97.309998,87.682106,497858600
2020-06-01,97.750000,115.769997,92.000000,94.059998,84.753662,536015600
2020-07-01,94.889999,101.290001,90.779999,96.639999,87.078392,432613400
2020-08-01,97.019997,106.430000,95.029999,100.190002,91.156860,319706000
2020-09-01,99.550003,105.209999,91.379997,96.269997,87.590294,390701400
2020-10-01,97.120003,104.449997,95.089996,98.040001,89.200699,325366100
2020-11-01,99.389999,123.500000,97.860001,117.879997,108.247154,333803100
2020-12-01,120.339996,127.330002,118.110001,127.070000,116.686180,274143300
2021-01-01,127.500000,142.750000,123.769997,128.669998,118.155426,318582400
2021-02-01,129.399994,154.899994,128.479996,147.169998,136.116913,229245300
2021-03-01,149.520004,161.690002,147.970001,152.229996,140.796875,399416900
2021-04-01,151.899994,157.250000,146.690002,153.809998,142.258240,288694200
2021-05-01,154.850006,165.699997,152.139999,164.240005,152.799576,248957700
2021-06-01,165.869995,167.440002,147.559998,155.539993,144.705582,356723300
2021-07-01,156.259995,159.160004,145.710007,151.779999,141.207474,280571500
2021-08-01,152.029999,163.830002,149.520004,159.949997,149.665909,208085700
2021-09-01,160.220001,169.300003,150.490005,163.690002,153.165466,234791100
2021-10-01,164.000000,172.960007,160.059998,169.889999,158.966812,231680800
2021-11-01,172.039993,172.330002,158.289993,158.830002,149.513458,203498400
2021-12-01,161.000000,163.389999,151.839996,158.350006,149.061615,251966400
2022-01-01,159.860001,169.809998,139.570007,148.600006,139.883530,373950200
2022-02-01,148.690002,159.029999,139.779999,141.800003,134.282501,288730100
2022-03-01,140.039993,143.929993,127.269997,136.320007,129.093048,390796800
2022-04-01,137.399994,137.410004,118.900002,119.360001,113.032173,303650400
2022-05-01,119.879997,133.149994,115.019997,132.229996,126.148041,313630400
2022-06-01,132.869995,132.869995,110.930000,112.610001,107.430466,268201900
2022-07-01,112.650002,116.500000,106.059998,115.360001,110.053986,239623100
2022-08-01,114.500000,124.239998,111.019997,113.730003,109.458702,258430300
2022-09-01,113.290001,121.550003,104.400002,104.500000,100.575348,248558100
2022-10-01,105.620003,127.430000,101.279999,125.879997,121.152382,318197200
2022-11-01,126.870003,138.179993,125.910004,138.179993,134.180298,227228500
2022-12-01,138.179993,138.660004,128.410004,134.100006,130.218414,202046000
2023-01-01,135.240005,143.490005,133.550003,139.960007,135.908768,209965200
2023-02-01,138.210007,144.339996,137.440002,143.350006,140.228882,169562800
2023-03-01,142.100006,144.039993,123.110001,130.309998,127.472801,458474400
2023-04-01,129.910004,141.779999,126.220001,138.240005,135.230148,242859500
2023-05-01,142.259995,143.369995,131.809998,135.710007,133.797089,235300100
2023-06-01,136.520004,146.000000,135.449997,145.440002,143.389938,206539200
2023-07-01,146.190002,159.380005,141.440002,157.960007,155.733475,231241600
2023-08-01,157.429993,158.000000,145.460007,146.330002,145.258163,169302400
2023-09-01,146.089996,150.250000,142.649994,145.020004,143.957764,172196500
2023-10-01,144.830002,153.110001,135.190002,139.059998,138.041412,244010900
2023-11-01,139.250000,156.130005,138.470001,156.080002,156.080002,162187800
2023-12-01,155.820007,170.690002,155.820007,170.100006,170.100006,184754800
2024-01-01,169.089996,172.169998,168.910004,172.080002,172.080002,9975800
